"EXPERIMENT_NAME","ANALYSIS_ID","ANALYSIS_NAME","METRIC_NAME","METRIC_DESCRIPTION","METRIC_DESIRED_DIRECTION","ANALYZED_AT","TREATMENT_VARIANT_NAME","CONTROL_METRIC_VALUE","CONTROL_EXPOSURES","TREATMENT_METRIC_VALUE","TREATMENT_EXPOSURES","TREATMENT_METRIC_IMPACT_RELATIVE","TREATMENT_IMPACT_RELATIVE_LOWER","TREATMENT_IMPACT_RELATIVE_UPPER","TREATMENT_RELATIVE_GLOBAL_LIFT","TREATMENT_METRIC_IMPACT_ABSOLUTE","TREATMENT_IMPACT_ABSOLUTE_LOWER","TREATMENT_IMPACT_ABSOLUTE_UPPER","TREATMENT_ABSOLUTE_GLOBAL_LIFT","TREATMENT_P_VALUE","TREATMENT_LABEL","TREATMENT_METRIC_ID","TREATMENT_DESIRED_DIRECTION","TREATMENT_STAT_SIG"
"enable_item_order_count_l30d_badge","42618d04-fef1-467c-92d5-63f96bc65157","enable_item_order_count_l30d_badge","account_or_system_push_opt_out","No-window: # of Cx who ever opted out from any marketing push channel at the account level or system level between bucketing and analysis / # of Cx bucketed

Window: # of Cx who ever opted out from any marketing push channel at the account level or system level within xD after bucketing/ # of Cx bucketed more than xD ago","METRIC_DIRECTIONALITY_DECREASE","2025-08-09 02:39:22.165246000","no icon treatment",0.004378000000000000,10697229,0.004373000000000000,10377837,-0.001165210000000000,-0.014039380000000000,0.011708960000000000,\\N,-0.000005100000000000,-0.000061460000000000,0.000051260000000000,\\N,0.859201160000000000,"guardrail","219aca30-b72a-4724-a132-7affeba72d31","decrease","flat"
"enable_item_order_count_l30d_badge","42618d04-fef1-467c-92d5-63f96bc65157","enable_item_order_count_l30d_badge","account_or_system_push_opt_out","No-window: # of Cx who ever opted out from any marketing push channel at the account level or system level between bucketing and analysis / # of Cx bucketed

Window: # of Cx who ever opted out from any marketing push channel at the account level or system level within xD after bucketing/ # of Cx bucketed more than xD ago","METRIC_DIRECTIONALITY_DECREASE","2025-08-09 02:39:22.158071000","icon treatment",0.004378000000000000,10697229,0.004383000000000000,10384642,0.001145150000000000,-0.011734380000000000,0.014024670000000000,\\N,0.000005010000000000,-0.000051370000000000,0.000061400000000000,\\N,0.861657700000000000,"guardrail","219aca30-b72a-4724-a132-7affeba72d31","decrease","flat"
"enable_item_order_count_l30d_badge","42618d04-fef1-467c-92d5-63f96bc65157","enable_item_order_count_l30d_badge","ads_promotion_promotion_cx_discount","Cx Discount from promotion redemptions","METRIC_DIRECTIONALITY_INCREASE","2025-07-29 23:08:55.606849000","icon treatment",1.496879700000000000,8598639,1.499782770000000000,8346056,0.001344540000000000,-0.001375470000000000,0.004064560000000000,0.000559530000000000,0.002012620000000000,-0.002058920000000000,0.006084160000000000,0.001446520000000000,0.332625940000000000,"\N","a590612d-78c6-4bc3-b76f-bb12aab3047d","increase","flat"
"enable_item_order_count_l30d_badge","42618d04-fef1-467c-92d5-63f96bc65157","enable_item_order_count_l30d_badge","ads_promotion_promotion_cx_discount","Cx Discount from promotion redemptions","METRIC_DIRECTIONALITY_INCREASE","2025-07-29 23:08:55.599929000","no icon treatment",1.496879700000000000,8598639,1.500225240000000000,8340626,0.001662550000000000,-0.001059430000000000,0.004384530000000000,0.000691870000000000,0.002488630000000000,-0.001585850000000000,0.006563110000000000,0.001788640000000000,0.231260620000000000,"\N","a590612d-78c6-4bc3-b76f-bb12aab3047d","increase","directional positive"
"enable_item_order_count_l30d_badge","42618d04-fef1-467c-92d5-63f96bc65157","enable_item_order_count_l30d_badge","ads_revenue","GuardRail metric for Ads Revenue at Cx level","METRIC_DIRECTIONALITY_INCREASE","2025-08-09 02:39:05.596036000","no icon treatment",1.388151600000000000,10697229,1.387965490000000000,10377837,-0.000206180000000000,-0.002185520000000000,0.001773160000000000,-0.000119050000000000,-0.000286210000000000,-0.003033830000000000,0.002461420000000000,-0.000157260000000000,0.838229460000000000,"guardrail","ef958637-f8a9-41ff-bb8c-83d42f962c50","increase","flat"
"enable_item_order_count_l30d_badge","42618d04-fef1-467c-92d5-63f96bc65157","enable_item_order_count_l30d_badge","ads_revenue","GuardRail metric for Ads Revenue at Cx level","METRIC_DIRECTIONALITY_INCREASE","2025-08-09 02:39:05.588356000","icon treatment",1.388151600000000000,10697229,1.388319710000000000,10384642,0.000594990000000000,-0.001387750000000000,0.002577720000000000,0.000343540000000000,0.000825930000000000,-0.001926410000000000,0.003578270000000000,0.000453810000000000,0.556429950000000000,"guardrail","ef958637-f8a9-41ff-bb8c-83d42f962c50","increase","flat"
"enable_item_order_count_l30d_badge","42618d04-fef1-467c-92d5-63f96bc65157","enable_item_order_count_l30d_badge","avg_dat_mins","Time from first assignment to dasher who completes the delivery","METRIC_DIRECTIONALITY_DECREASE","2025-08-09 02:40:16.787328000","icon treatment",1204.381798290000000000,7046792,1205.002578690000000000,6840192,0.000539720000000000,0.000172150000000000,0.000907300000000000,0.000294360000000000,0.650032930000000000,0.207329860000000000,1.092735990000000000,0.353966770000000000,0.004003720000000000,"guardrail","6a81dec8-4344-4655-b101-81655d044f9b","decrease","significant negative"
"enable_item_order_count_l30d_badge","42618d04-fef1-467c-92d5-63f96bc65157","enable_item_order_count_l30d_badge","avg_dat_mins","Time from first assignment to dasher who completes the delivery","METRIC_DIRECTIONALITY_DECREASE","2025-08-09 02:40:16.781531000","no icon treatment",1204.381798290000000000,7046792,1204.700343500000000000,6835290,0.000223720000000000,-0.000143680000000000,0.000591120000000000,0.000121970000000000,0.269442470000000000,-0.173049880000000000,0.711934830000000000,0.146672700000000000,0.232688730000000000,"guardrail","6a81dec8-4344-4655-b101-81655d044f9b","decrease","directional negative"
"enable_item_order_count_l30d_badge","42618d04-fef1-467c-92d5-63f96bc65157","enable_item_order_count_l30d_badge","cng_order_rate_nc","This metric represents the count of distinct orders for New Verticals.","METRIC_DIRECTIONALITY_INCREASE","2025-08-09 02:39:36.184042000","no icon treatment",0.402407000000000000,10697229,0.402519000000000000,10377837,0.000091710000000000,-0.002084840000000000,0.002268260000000000,0.000057790000000000,0.000036910000000000,-0.000838950000000000,0.000912770000000000,0.000133580000000000,0.934180460000000000,"guardrail","313e71d8-610c-40e7-a723-065e39af6ac8","increase","flat"
"enable_item_order_count_l30d_badge","42618d04-fef1-467c-92d5-63f96bc65157","enable_item_order_count_l30d_badge","cng_order_rate_nc","This metric represents the count of distinct orders for New Verticals.","METRIC_DIRECTIONALITY_INCREASE","2025-08-09 02:39:36.179565000","icon treatment",0.402407000000000000,10697229,0.403488000000000000,10384642,0.001228290000000000,-0.000947610000000000,0.003404190000000000,0.000773970000000000,0.000494270000000000,-0.000381320000000000,0.001369870000000000,0.001789050000000000,0.268554750000000000,"guardrail","313e71d8-610c-40e7-a723-065e39af6ac8","increase","flat"
